#Node	k	network_signs	integer_encoded_BF	model_PMID
Fgf8	3	iaa	16	20862356
Sp8	2	ia	4	20862356
Emx2	4	aiii	128	20862356
Coup_fti	2	ii	8	20862356
Pax6	3	iia	64	20862356
Toll	1	a	1	23868318
Spz	1	i	2	23868318
Pelle	1	a	1	23868318
Tube	1	a	1	23868318
MyD88	1	a	1	23868318
Targets	2	aa	7	23868318
Dif	1	i	2	23868318
Dorsal	1	i	2	23868318
Cactus	2	ia	14	23868318
YOX1	2	aa	1	18463633
MBF	1	a	1	18463633
SBF	4	aaii	2184	18463633
ACE2	1	a	1	18463633
SFF	2	aa	1	18463633
SWI5	1	a	1	18463633
HCM1	2	aa	1	18463633
CLN3	4	aaii	8	18463633
YHP1	2	aa	7	18463633
B	1	a	1	21563979
M	3	aii	8	21563979
C	1	i	2	21563979
Lm	4	iaaa	7936	21563979
P	1	a	1	21563979
A	2	aa	1	21563979
L	3	iaa	16	21563979
Rm	3	iia	213	21563979
R	2	ii	8	21563979
Am	2	aa	7	21563979
CycA	6	iiaaia	922121403912683520	16873462
E2F	4	iiai	40992	16873462
Cdc20	1	a	1	16873462
Cdh1	4	aiia	50431	16873462
UbcH10	5	aaaaa	4279631701	16873462
Rb	5	iiiia	3489681408	16873462
CycB	2	ii	8	16873462
p27	5	iiiaa	3489677312	16873462
CycE	2	ai	2	16873462
CycD	1	a	1	16873462
Pnt	1	a	1	23868318
Rl	2	aa	1	23868318
Dsor1	1	a	1	23868318
Targets	2	ia	4	23868318
Aop	1	i	2	23868318
Raf	4	aaaa	1	23868318
Ras	2	ai	2	23868318
Sos	1	a	1	23868318
Drk	1	a	1	23868318
Pvr	3	aaa	127	23868318
ERK1_2	4	aaaa	32767	24970389
ERBB3	4	aiai	8352	24970389
PDK1	4	aaaa	32767	24970389
MEK1_2	4	aaaa	32767	24970389
PKCa	2	aa	7	24970389
PLCg	4	aaaa	32767	24970389
ERBB1	5	aaiia	1086374080	24970389
ERBB2	4	aiii	128	24970389
AKT	4	aaaa	32767	24970389
mTOR	2	aa	7	24970389
p70S6K	4	aaaa	32767	24970389
Ci_rep	6	aaaaaa	1	23868318
SuFu	1	i	2	23868318
Cos	2	ia	14	23868318
Ptc	1	i	2	23868318
Hh	8	aaaaaaaa	1	23868318
Ci_act	6	aiaaaa	18446742901183475438	23868318
Dally	1	a	1	23868318
Dlp	1	a	1	23868318
Fu	1	a	1	23868318
Smo	3	aia	14	23868318
Targets	2	ai	2	23868318
MEK1_2	4	aaaa	32767	24970389
ERBB2	6	aiiiaa	8070450536274460672	24970389
ERBB1	5	aaaii	143165576	24970389
ERBB3	4	aaii	2184	24970389
PDK1	5	aaaaa	2147483647	24970389
PLCg	5	aaaaa	2147483647	24970389
AKT	4	aaaa	32767	24970389
mTOR	3	aaa	127	24970389
PKCa	2	aa	7	24970389
p70S6K	4	aaaa	32767	24970389
ERK1_2	4	aaaa	32767	24970389
mTOR	2	aa	7	24970389
AKT	5	aaaaa	2147483647	24970389
ERBB2	6	aaiaii	576610288166537216	24970389
ERBB1	5	aaiia	1086374080	24970389
PDK1	4	aaaa	32767	24970389
ERK1_2	2	aa	7	24970389
MEK1_2	5	aaaaa	2147483647	24970389
PKCa	3	aaa	127	24970389
PLCg	4	aaaa	32767	24970389
ERBB3	5	aaiai	547397792	24970389
p70S6K	5	aaaaa	2147483647	24970389
IL9	6	iaaiaa	1157442902578692096	26090929
IL4	7	aiaiaai	67791662187920495757537385041025302528	26090929
IL2	6	iiiaia	5476377148023373824	26090929
IL10	6	aaaaaa	1116628820770623487	26090929
TGFB	4	aiaa	30197	26090929
IFNG	10	iiaaiiiiai	22471164185778948855752546770550308308386192307371611979622284161708297187329704883936095175309572449355632760695221798846742689433535281286450330091951616676813828434538403768082475623639591907534471291131526992867637426037354515937353905044739017362231633565946048241324586489296797945548565924888897912832	26090929
IL21	9	aiiiaaiia	3391386709340869769654329819447099635694632018527366782241157851588610367418410346005703064974226400016069366281383135579307915694160747048371635332579328	26090929
RORGT	6	iiiaia	288230376151711744	26090929
BCL6	4	iaii	2048	26090929
FOXP3	5	aaiia	4194496	26090929
TBET	7	iiaiiia	85074485952878516986565049730188967936	26090929
GATA3	8	iaiaiaii	55213970774327845060658612077684707382919441985996756429971012724981760	26090929
APC	1	i	2	23868318
Dsh	3	aai	42	23868318
Arm	7	aaaaaia	20203181445841325826244859658494	23868318
Sgg	1	i	2	23868318
Axin	1	i	2	23868318
Fz	2	aa	1	23868318
Targets	6	iaaaaa	4294967296	23868318
Pan	2	ai	2	23868318
Nemo	1	a	1	23868318
Dlp	2	ai	2	23868318
Arr	1	a	1	23868318
Dally	2	ai	2	23868318
Dkk1	3	aia	93	23056457
Mesp1	2	ai	2	23056457
canWnt	1	a	1	23056457
exogen_BMP2_II	1	a	1	23056457
Bmp2	2	ia	4	23056457
Foxc1_2	2	aa	1	23056457
exogen_canWnt_II	1	a	1	23056457
Isl1	5	aaaaa	2139062271	23056457
Fgf8	3	aia	76	23056457
Tbx1	1	a	1	23056457
Nkx2_5	7	aaaaaaa	158798448673953643329008280872824078335	23056457
Tbx5	6	iiaaia	5533873685095514112	23056457
GATAs	3	aaa	127	23056457
exogen_CanWnt_I	1	a	1	23056457
APC/C	5	aiaai	1057013504	26340681
MYB77	4	aaii	2574	26340681
E2Fe	6	aaaaaa	18389322886389432315	26340681
E2Fa	4	aaai	48048	26340681
RBR	5	iaaai	867894027	26340681
MYB3R1/4	4	aiaa	21877	26340681
CYCD3;1	1	i	2	26340681
KRP1	5	iaaaa	1061109546	26340681
E2Fc	6	aaiaii	1085314523353549519	26340681
E2Fb	2	ai	2	26340681
CDKB1;1	7	aaiiaai	84069761279059502970641273758683184959	26340681
SCF	6	iaaiai	3727630269709025280	26340681
CYCB1;1	8	iaaiiaai	28607457354516630701703606552751400985576695523429513333045241432489070690304	26340681
CYCA2;3	3	iaa	112	26340681
Meta2	10	aiaiaaaaaa	234074626935197380570481942917321235406084025506346677380050066947845837433276071061899412237852122839861545689081499535275190516065856114425842471407831230569890935736373045689690468267848925361775965941627842956078999592476561967233778047957311947951950070396908495325218526025351848211584496076419235840	23171249
XylSh	6	iaaiaa	68719476736	23171249
RpoH	1	a	1	23171249
RpoS	1	a	1	23171249
Crc	2	ai	2	23171249
ProX	2	ia	4	23171249
XylS	1	a	1	23171249
Upper	8	iaaiiaia	22835963083295358096932575511191922182123945984	23171249
Meta	9	aiaaaaaaa	17458083242112756398759443216740330592565712689760008012318546743714875236041547677894865755224174857549158633040950657519094766513248532052697604423680	23171249
PtsN	2	ia	4	23171249
XylR	3	iia	64	23171249
TurA	1	a	1	23171249
PprA	1	a	1	23171249
IHF	1	a	1	23171249
Dopamine_Receptor_2	1	a	1	17010384
Dopamine	2	ia	4	17010384
Adenylate_cyclase	2	ai	2	17010384
Dopamine_Receptor_1	1	a	1	17010384
COMT	1	a	1	17010384
Exocytosis	1	a	1	17010384
Packaging_Proteins	1	a	1	17010384
DARPP32	2	ia	4	17010384
Protein_Kinase_A	1	a	1	17010384
Calcineurin	1	a	1	17010384
Tryosine_hydroxylase	1	a	1	17010384
Glutamate	1	a	1	17010384
Phospholipase_C	1	a	1	17010384
Calcium	2	aa	7	17010384
Glutamate_Receptor	3	aai	2	17010384
Protein_Phosphatase_1	1	i	2	17010384
STAT5	1	a	1	26751566
IL-2R	1	a	1	26751566
IL-21R	1	a	1	26751566
Blimp1	6	iiaaia	5533798042131496960	26751566
Irf4	4	iaaa	32597	26751566
Bcl6	7	aiiiaaa	158178131498404988884704354616177852416	26751566
Bach2	2	ia	4	26751566
Pax5	4	iiia	53248	26751566
ERK	1	a	1	26751566
STAT3	1	a	1	26751566
CD40	1	a	1	26751566
BCR	1	a	1	26751566
STAT6	1	a	1	26751566
IL-4R	1	a	1	26751566
NF-kB	1	a	1	26751566
XBP1	2	ai	2	26751566
AID	4	iaia	22272	26751566
PI3K	1	a	1	23134720
Ras	1	a	1	23134720
PTEN	1	i	2	23134720
ROS	2	ia	4	23134720
Mdm2	3	aia	76	23134720
p53	2	ai	2	23134720
ATM	1	a	1	23134720
Akt	1	a	1	23134720
Bad	1	i	2	23134720
GSK3b	1	i	2	23134720
Nrf2	3	aia	223	23134720
PKC	2	ia	4	23134720
Keap1	3	iaa	112	23134720
ARE	4	iiia	16384	23134720
Bach1	1	i	2	23134720
Bcl2	2	ii	8	23134720
PIP3	2	ai	2	23134720
PIP2	1	a	1	23134720
IFNG	3	iii	128	22102804
P2	3	iaa	112	22102804
SMAD	2	ia	4	22102804
Apoptosis	2	aa	7	22102804
DISC	4	iaai	12032	22102804
Fas	2	ii	8	22102804
FLIP	2	ii	8	22102804
Ceramide	3	iai	32	22102804
BID	2	ii	8	22102804
MCL1	2	ii	8	22102804
S1P	2	ii	8	22102804
Caspase	4	iaai	15104	22102804
IAP	2	ii	8	22102804
GPCR	2	ia	4	22102804
sFas	2	ia	4	22102804
CREB	2	ia	4	22102804
CTLA4	2	ia	4	22102804
TCR	2	ii	8	22102804
Psh	2	ia	4	23868318
Viru_Fact	2	aa	7	23868318
Sphinx	1	a	1	23868318
Grass	1	a	1	23868318
Spd	1	a	1	23868318
Ndl	1	a	1	23868318
SPE	5	aaaaa	2147483647	23868318
Spirit	1	a	1	23868318
Easter	2	aa	1	23868318
PGRP_SD	1	a	1	23868318
DAP	1	a	1	23868318
Snk	1	a	1	23868318
Gd	1	a	1	23868318
Spz	1	a	1	23868318
ModSP	4	aaaa	32767	23868318
GNBP3	1	a	1	23868318
PGRP_SA	1	a	1	23868318
GNBP1	1	a	1	23868318
IL4	2	ai	2	16542429
GATA3	3	aai	42	16542429
STAT1	2	aa	7	16542429
JAK1	2	ai	2	16542429
IFNbR	1	a	1	16542429
Tbet	3	iaa	112	16542429
STAT6	1	a	1	16542429
IL10R	1	a	1	16542429
IL10	1	a	1	16542429
IFNgR	1	a	1	16542429
SOCS1	2	aa	7	16542429
NFAT	1	a	1	16542429
IL12R	1	a	1	16542429
IL4R	2	ai	2	16542429
IRAK	1	a	1	16542429
IL18R	2	ai	2	16542429
IFNg	5	aaiaa	1894838512	16542429
STAT3	1	a	1	16542429
STAT4	2	ia	4	16542429
PP2A	2	ia	4	26616283
PP1	3	iii	128	26616283
ENSA	1	a	1	26616283
STMN	1	i	2	26616283
AURKAActive	7	aaaaaia	1730739210446479754268664540449996	26616283
WEE1	1	i	2	26616283
PLK1	5	aaaia	1146093567	26616283
Cytokinesis	2	ia	4	26616283
SpindleAssembly	2	ai	2	26616283
CentrosomeMat	2	ai	2	26616283
hCPEB	1	a	1	26616283
NEDD9	1	a	1	26616283
MT	1	i	2	26616283
GWL_MASTL	2	ai	2	26616283
TPX2	1	a	1	26616283
AURKAPresent	1	i	2	26616283
CDC25B	3	aia	76	26616283
BORA	3	aai	50	26616283
CDK1CCNBComplex	4	aiai	45296	26616283
SidA	2	ai	2	25908096
HapX	2	ai	2	25908096
SreA	2	aa	1	25908096
Yap1	1	a	1	25908096
ROS	6	aaaiaa	3745868986625228799	25908096
hapX	1	i	2	25908096
LIP	5	aaaaa	340791	25908096
FCplusFe	2	aa	1	25908096
FCminusFe	1	a	1	25908096
ICP	3	aia	76	25908096
VAC	2	aa	1	25908096
ThP	1	a	1	25908096
TAFC	1	a	1	25908096
EstB	1	i	2	25908096
MirB	2	ai	2	25908096
RIA	1	i	2	25908096
CccA	1	i	2	25908096
sreA	1	i	2	25908096
Cat1/2	2	ia	4	25908096
SOD2/3	1	a	1	25908096
RPS6	2	aa	7	24970389
p70S6K	4	aaii	2184	24970389
ERBB2	5	aiiai	536911872	24970389
BAX	1	a	1	24970389
CyclinD1	5	aaaaa	2147483647	24970389
ERK1_2	3	aaa	127	24970389
cJUN	2	ai	2	24970389
AKT	6	aaaaai	3074457345618258602	24970389
RB	3	iaa	112	24970389
CyclinB1	2	ai	2	24970389
p53	4	aaaa	32767	24970389
ERBB3	5	aiiaa	1879109632	24970389
PTEN	3	aia	76	24970389
ERBB1	6	aaaiia	4665941148055945408	24970389
TSC2	5	iiiaa	1879048192	24970389
GSKa_b	2	aa	7	24970389
PRAS	3	iaa	112	24970389
p38	2	aa	7	24970389
Nfkb	1	a	1	24970389
cRAF	4	aaai	10922	24970389
FOXO1_3a	2	ia	4	24970389
GSK3a_b	3	aaa	127	24970389
CyclinD1	5	aaaia	1288490188	24970389
p53	6	aaaaaa	9223372036854775807	24970389
cJUN	2	ai	2	24970389
ERBB2	5	aiiai	536911872	24970389
AKT	5	aaaai	715827882	24970389
